Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
St. Catherine's Church	2026-07-22	19:30	21:30	Andy Roberts Acoustic Island	https://purchase.vfringe.co.uk/EventAvailability?EventId=50202		Music	true	false	Andy Roberts presents an evening of brilliant Acoustic Island musicians over two hours with an interval. The cast includes emerging and established talents comprising duos and solos in a variety of acoustic styles from Singer Songwriter to Country, Classic Folk Blues and Modern Originals. Featuring: * Daysi and Amelia - harmony vocals and guitar duo from Ventnor itself. * Kindred Found - radio and festival Americana stars * Andy Roberts - Singer Songwriter, Playwright and tonight your MC. * Plus maybe more!
Bosco Theatre	2026-07-22	19:30	20:30	Rob Auton - JUPITER	https://purchase.vfringe.co.uk/EventAvailability?EventId=47401		Comedy & Cabaret	true	false	I am writing a new show. It is a story about me being an estate agent on the planet Jupiter. It would be great to see you if you fancy it? 'A genuine original' The Guardian 'We need him' The Scotsman 'Just sad' Vanessa Feltz
Club Lunar	2026-07-22	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
	2026-07-22	20:00	20:00	Sandbox: Arts Industry Event	https://purchase.vfringe.co.uk/EventAvailability?EventId=48201		Workshop	true	false	A residential inspiration & development programme for producers and creatives at Ventnor Fringe. Sandbox offers an opportunity for visiting professionals to fully immerse themselves in the festival over two days and three nights with a programme of talks, workshops, performances, secret shows, guided walks and communal meals. Sandbox has been designed to be more open ended than a training course and more fun than a conference! It's an opportunity to meet new people, be inspired, recharge and discover new work. Entry includes the cost of all activities and shows as part of the programme as well as a communal dinner on Thursday evening. The full programme will be announced shortly but the overall timings are as follows: Wednesday 22nd July 20:00hrs-23:00hrs Thursday 23rd July 09:30hrs - 22:00hrs (optional extra event to 00:00hrs) Friday 24th July 10:30hrs-20:30hrs (Followed by an optional Farewell Party to 00:00hrs) For additional details or advice on local accommodation/travel please contact us on hello@vfringe.co.uk
The Garage	2026-07-22	20:00	20:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
Bijou	2026-07-22	20:30	21:30	Andrew White: What a Life!	https://purchase.vfringe.co.uk/EventAvailability?EventId=50401		Comedy & Cabaret	true	false	An only-child with two siblings, Andrew White enjoyed a precocious childhood befriending retirees & penning self-indulgent poetry, until a literal circus clown warned him of imminent death on his 18th birthday… All the Jester foretold came to pass, and now Andrew must reflect on life without three close loved ones and do his best to honour their memories. Don’t miss this hilarious, honest & heartwarming new stand-up comedy show. ★★★★ “A plethora of memorable gags” (Chortle) “Very exciting & very funny” (Joe Lycett) “Outrageously funny” (Broadway World “Go see him, he’s sublime!” (Maisie Adam)
Ingrams Yard	2026-07-22	21:00	22:00	Final Queen	https://purchase.vfringe.co.uk/EventAvailability?EventId=41801		Performing Arts	true	false	A Drag Circus Horror Comedy. Priscilla Queen of the Desert meets Texas Chainsaw Massacre under the Big Top! Join Australia’s own circus queen Grace Lightning as she embarks on a road trip through the outback, dodging deadly snakes and spiders, bigoted cryptids, and chainsaw-wielding bushrangers on a murderous rampage. But are these monsters really what they seem…? Expect haunted acrobatics, blood soaked hula hooping, and a whole lot of hair-raising hilarity, oozing with all your favourite horror tropes on the small stage.
The Garage	2026-07-22	21:00	21:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
Bosco Theatre	2026-07-22	21:30	22:30	Joe Kent-Walters is Frankie Monroe: DEAD!!! (Good Fun Time)	https://purchase.vfringe.co.uk/EventAvailability?EventId=51801		Comedy & Cabaret	true	false	Yorkshire’s biggest bastard and Edinburgh Comedy Award Best Newcomer 2024 is back, after yet another sold-out run at the Edinburgh Fringe Festival! This time he's dead… dead good! And also, dead. He's a dead man. Join the nation's favourite demonic entertainer, owner of a Working Mens Club in Rotherham what is also a portal to hell, as he dazzles you from beyond the grave. See him now before he is well and truly gone. "Plenty of fun for fans of Johnny Vegas, The Mighty Boosh and Vic and Bob" The Times ‘A devilishly funny show.’ ★★★★★ Telegraph
Ventnor Arts Club	2026-07-22	21:30	22:30	TBC (totally brilliant conjuring)	https://purchase.vfringe.co.uk/EventAvailability?EventId=45401		Performing Arts	true	false	British Magic Champion Mark Shortland will blow your mind with some totally brilliant conjuring. This fun packed show will engage the audience with a mixture of illusion, audience participation and a "unique brand of comedy" which are all blended together with an individual style of magic and suggestion, creating an act the edge of your seat was made for. "You've blown our minds!" Ant and Dec "Very impressive, one of my favourite acts" Jonathan Ross "Your performance was brilliant, so funny and full of life" Teller
The Workshop Tent	2026-07-23	09:00	10:15	Scaravelli Yoga Workshop - An Embodied Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=63601		Workshop	true	false	Embark on a transformational journey into the inner landscape of your body and breath with Scaravelli-inspired yoga teacher, aromatherapist, and healer Lew Williams. Through gently tending to and befriending your remarkable body—and following Lew’s uniquely intuitive, story-rich approach to yoga—you can discover a deep sense of strength, grace and freedom, no matter your age, flexibility, or level of experience.
The Workshop Tent	2026-07-23	10:45	11:45	Fringe Frequencies: A Ventnor Sound Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=56401		Workshop	true	false	Step into a curated series of immersive Gong & Bowl Sound Baths inspired by the shifting atmosphere, coastline and natural rhythms of Ventnor. Each session carries its own distinct mood, frequencies and soundscape, connected through the creativity and energy Ventnor Fringe brings to the town each summer. Held beneath canvas in the park, expect resonant Sound, deep rest and the subtle backdrop of nature and festival life outside. Bring mats, pillows and blankets for comfort. Unsuitable for those with seizures, pacemakers or who are pregnant. Full details of contraindications on my website.
The Workshop Tent	2026-07-23	13:00	14:30	Actor Workshop for Adults	https://purchase.vfringe.co.uk/EventAvailability?EventId=61801		Workshop	true	false	ACTOR WORKSHOP: VENTNOR FRINGE SPECIAL 90 Minute Fun Workshop with Emma Turner Come and play. This is 90 minutes of playful acting techniques, games, and exercises designed to help you explore and enjoy your acting capabilities. Whether you’ve never acted before or you’re a pro shaking off the cobwebs, this workshop is about fun, not perfection. What we’ll do: 1. Warm Up + Play — Ditch the day. Get your body, voice and imagination moving with games that wake you up. 2. Games + Exercises — Fast, fun techniques to unlock confidence, spontaneity, and that feeling of “oh, I can do that”. 3. Character + Scene Play — Try out scenes and improvise. Surprise yourself. No scripts to learn beforehand. 4. Take Home Tools — Simple ways to stay playful and present so you can keep exploring after the Fringe. Our vibe: Playful. Supportive. Creative. Safe. What happens in the room, stays in the room. No judgement. No pressure to be brilliant. Just space to try stuff and see what happens. This workshop is for you if: You’re curious about acting but never tried it. You used to act and want to play again. You’re an actor who needs to remember why you love it. You want to do something brave and fun at Ventnor Fringe. House rules: We start at 1pm sharp. Doors close 1:05pm — please be on time. Phones off. Be kind to yourself and each other. Be brave. It’s just play. What to bring: Water. Comfy clothes you can move in. Your sense of humour. That’s it. No experience needed. No pressure. Just play. Questions? DM @Actorworkshopiow on Instagram Emma Turner Actor + Acting Coach Spotlight: app.spotlight.com Instagram: @Actorworkshopiow Facebook: Actor Workshop “Come and play. See what you’re capable of.”
Ingrams Yard	2026-07-23	13:00	14:10	On Holiday With Herzen	https://purchase.vfringe.co.uk/EventAvailability?EventId=55601		Performing Arts	true	false	A dryly humorous new play exploring Ventnor’s unexpected role in Russian history. On Holiday with Herzen revives characters from Turgenev’s Fathers and Sons, tracing a line from the Island to revolution, assassination, and the fate of modern Russia. A witty “postcard from Ventnor” imagining how history might have unfolded differently.
Ventnor Exchange Arena	2026-07-23	13:00	14:00	Norvil & Josephine: Rabbits Out of the Hat	https://purchase.vfringe.co.uk/EventAvailability?EventId=37201		Performing Arts	true	false	After their 5-star studded season at Edinburgh Fringe, vaudevillian duo Norvil & Josephine present a magical extravaganza for all ages! Together they are a magician with a secret and an assistant with a mission in this whimsical comedy musical magic show, the likes of which the world has never seen. It's 1905 and life will never be the same again. It's time for the magician to chase new dreams while the assistant calls the shots. Expect breathtaking magic, sensational circus and showstopper songs as these Magic Circle magicians share a spectacularly silly and spellbinding story about being yourself no matter what. It's a heartwarming story within a whacky feel-good show. RABBITS OUT OF THE HAT appeals to both adult and family audiences in equal measure. The show has appeared in 85 theatre performances around the UK including 4 sold out seasons at The Well Walk Theatre in Hampstead and a run at The Pleasance King Dome at Edinburgh Festival Fringe.
The Fringe Village Box Office	2026-07-23	13:00	14:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ventnor Exchange	2026-07-23	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Ingrams Yard	2026-07-23	15:00	16:00	A Haunted House	https://purchase.vfringe.co.uk/EventAvailability?EventId=50801		Comedy & Cabaret	true	false	Mime, clown and slapstick performer David Hoskin ('Phenomenal' ***** BroadwayWorld.com) presents A Haunted House; on a tour of a spooky old mansion, silly vignettes and strange time loops reveal murder, memory loss, and dancing zombies. It’s like spending the night with the League of Gentlemen and Jacques Tati in a Hammer horror film. In a dark, dark house on a dark, dark street, a house of horrors wakes from sleep... dare you enter? Mumbai Fringe '26 - Best International Comedy Show. ★★★★½ – EVERYTHING I LOVE about Fringe – Fringesider ★★★★ – Masterclass in physical theatre – BroadwayBaby
The Fringe Village Box Office	2026-07-23	15:00	16:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
The Workshop Tent	2026-07-23	15:00	16:30	Tetrapak Intaglio Printmaking workshop	https://purchase.vfringe.co.uk/EventAvailability?EventId=62001		Workshop	true	false	Come and join us for a special creative printmaking workshop led by Czech artist Petra Janouskova ART NOMAD on Tuesday 21st - Friday 24th, from 3 PM - 4:30PM. This workshop is for any experience level and ability—ages 12 and up. We will create a line-based design that will be transferred onto a Tetra Pak (a recycled milk or juice carton). The design will then be printed onto mixed-media paper using a printing press. This class will cover the full process of printmaking, from initial design through a finished print. Participants are encouraged to bring their own inspiration or choose from a variety of photographs provided by the class director.
Bijou	2026-07-23	15:30	16:30	Faery Tale Blues — Songs'n'Stories	https://purchase.vfringe.co.uk/EventAvailability?EventId=45001		Performing Arts	true	false	Following a rapidly sold out event at Ventnor Fringe last year ("Protest Days, Rebellion Nights"), storyteller Tony "Monty" Hirst and and folk/blues duo The AnyWhens (Glenn Koppany and Sue Cain) bring their new show "Faery Tale Blues" to the Bijou Tent for 2026. Featuring original and traditional songs, and traditional and historical tales, Monty + The AnyWhens invite you take a step outside the ordinary, to another world that is forever hidden in plain sight, to the lift the veil to the other world, the land of the Fae, and the time of Once.
Ventnor Arts Club	2026-07-23	16:45	17:45	Rob Preston: Amazing Global Solutions (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=44801		Comedy & Cabaret	true	false	Character comedian Rob Preston just wants everything to be perfect again. Join him and his unlikely cadre of alter-egos on their quest to dominate the content space, end mental health and bring lasting international peace to the entirety of the globe globally. A big ask? Sure. But someone's got to pull their finger out. BBC New Comedy Award and Pleasance Reserve Shortlist. Soon to appear in Leo Reich's Channel 4 and A24 sitcom It Gets Worse. Star of Fringe 2025 sell-out comedy play Brainsluts: **** (Guardian). **** (Times). **** (List). 'Crowd favourite' (BroadwayWorld.com)
Bosco Theatre	2026-07-23	17:00	18:00	Burning Down the Horse	https://purchase.vfringe.co.uk/EventAvailability?EventId=43603		Performing Arts	true	false	The multi award-winning smash hit Burning Down the Horse comes to Ventnor! This immersive comedy epic drops you into the heart of the most iconic wooden animal in history - the Trojan Horse. Become part of this “infectiously funny” (Fringe Review) tale as you contend with heroic egos, class clashes and sword supply issues. There's only one rule: Odysseus' word is law. And for the love of gods - no naked flames! Created by the team behind last year’s smash It’s Gonna Blow!, join us and experience what really went on inside the belly of the beast.
Ingrams Yard	2026-07-23	17:00	18:00	DELUGE	https://purchase.vfringe.co.uk/EventAvailability?EventId=41401		Performing Arts	true	false	A comic exploration of grief, inspired by a break-up and over 40 interviews gathered via a social media call-out. In the wake of a relationship, a woman tries to contain the overflow of her thoughts…She ends up stuck in a ladder, fighting against komodo dragons, house leaks, holes, and jam jars that only seem to multiply. Deluge puts a magic realist spin on dealing with grief, blurring imagination with real stories. ‘Intense physicality and irresistible charm’ **** (British Theatre Guide). ‘Incredibly beautifully written’ **** (Spy in The Stalls). ****½ (Youngish Perspective)
Ventnor Botanic Garden	2026-07-23	18:00	20:00	Circus Trail	https://purchase.vfringe.co.uk/EventAvailability?EventId=37601		Performing Arts	true	false	Explore Ventnor's famous Botanic Garden after hours as The Circus Trail returns with an all new cast of acrobats and performers. Once again transforming these tropical gardens in a unique promenade performance, created especially for Ventnor Fringe. The perfect festival adventure for adults and children of all ages.
Ventnor Exchange Arena	2026-07-23	18:00	19:00	POLICE COPS	https://purchase.vfringe.co.uk/EventAvailability?EventId=37401		Comedy & Cabaret	true	false	POLICE COPS debut show; a globally-acclaimed comedy blockbuster that has enjoyed THREE sell out runs at London’s Soho Theatre and an OFFICIAL SELL OUT run at The Edinburgh Fringe Festival. The 7 time award winning production has delighted audiences around the world at The Melbourne International Comedy Festival, The Cape Town Fringe Festival and The National Arts Festival of South Africa. PRESENT DAY (of 1976). Straight-laced rookie Police Cop Jimmy Johnson is out to avenge his brother’s death, and he’s got to go it alone! (with his partner) Teamed up with a disgraced, retired renegade named Harrison, the pair begin to unearth the soily secrets that the case holds. POLICE COPS is a cinematic joyride, speeding down Adventure Avenue in a souped-up squad car. Oh, and did I mention...the steering wheel is made out of guns.
Bijou	2026-07-23	18:15	19:15	Grapple	https://purchase.vfringe.co.uk/EventAvailability?EventId=39801		Spoken Word, Walks & Talks	true	false	An ageing man still trying to make sense of reality. Join me on my journey. Spoken word (poetry and Storytelling). For adult ears only.
Pier Street Playhouse	2026-07-23	18:30	19:30	Fizzy	https://purchase.vfringe.co.uk/EventAvailability?EventId=50001		Performing Arts	true	false	Fizzy is a new, sharp, funny and heartfelt play about friendship, music and growing up in the late 1990s. Set in a world of mixtapes, gig queues and borrowed bravado, it follows a tight-knit group of friends building themselves out of mixtapes, in-jokes and stubborn hope, trying to work out who they are before the moment slips away. It’s loud, fast and funny, with something more fragile underneath: what happens when life suddenly becomes more complicated? For the mixtape-makers, the music lovers, the over-thinkers, and the ones who grew up a little out of step (or still working it out.)
Ventnor Arts Club	2026-07-23	19:00	20:00	100% Badgers with Matt Hobs	https://purchase.vfringe.co.uk/EventAvailability?EventId=43001		Comedy & Cabaret	true	false	100% Badgers is the sell-out 2025 Edinburgh Fringe stand-up comedy show where Matt Hobs talks about how the worlds of humans and badgers collide. The show takes us on Hobs’ journey from a passing interest in badgers, to an obsession that leads to him standing in a field looking at a caged, frightened badger caught up in the misinformation of the bovine TB debate. We’ll learn about the European badger and its dachshund nemesis, the presidential American badger, the world-famous internet sensation that is the honey badger and many more. “Gripping” ★★★★.5, Edinburgh Reviews. “belly laughs” ★★★★.
Ingrams Yard	2026-07-23	19:00	19:00	Lil Wenker: BOYKING (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=42201		Comedy & Cabaret	true	false	ALL HAIL BOYKING! Eight-year-old Prince Wilfred (“Willy” for short) seeks power at all costs including but not limited to: death, destruction & dastardly deeds. Nowhere near in line for the throne, Prince Wilfred ruminates on a plan for total world domination while guzzling Mummy’s Milk. Bow down—this coronation’s a killer. Created by the award-winning performer-director duo Lil Wenker and Cecily Nash. Praise for past work (BANGTAIL): ★★★★★ “Sheer, brilliant, well executed madness” Three Weeks ​★★★★★ "A masterclass in clowning" Voice Mag
Bosco Theatre	2026-07-23	19:30	20:30	Jess Robinson: Elton Reimagined	https://purchase.vfringe.co.uk/EventAvailability?EventId=6002		Comedy & Cabaret	true	false	Elton John's greatest hits are reimagined by multi award-winning Jess Robinson (Dead Ringers, The Last Leg), renowned for her pitch-perfect impressions. Celebrating Elton through the voices of iconic women: Britney, Barbra, Amy, and more. ***** (Edinburgh Festivals Magazine). ***** (Edinburgh Evening News). **** (Chortle.co.uk). 'It's like a mega concert with all your favourite stars' (ITV). 'Naturally funny, pitch perfect' (Telegraph). 'Slick impressions, super powered ballads' (Guardian). 'A star is born' (Metro).
St. Catherine's Church	2026-07-23	19:30	20:30	The Man in the Moon	https://purchase.vfringe.co.uk/EventAvailability?EventId=49801		Performing Arts	true	false	The Man in the Moon A guitar slinging Ventnor Taxi Drivers Tale Scribbled on a notepad in a hospital ward following a series of heart attacks, Simon Gooden was determined to tell one last story. This is it.
Club Lunar	2026-07-23	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-23	20:30	21:30	Tarot Tales	https://purchase.vfringe.co.uk/EventAvailability?EventId=59001		Spoken Word, Walks & Talks	true	false	Delve deep into the wisdom and wonder of Tarot with this wildly imaginative live storytelling show. For hundreds of years, Tarot cards have fascinated and beguiled. They’ve told fortunes, uncovered secrets, and held up a dark mirror to the mysteries of life. Now performance storyteller Merl Fluin reveals the Major Arcana in a whole new light. Combining the Tarot’s symbolism with traditional tales from myth and folklore, she’ll lead you on a dance where every card is a portal to a glittering storyworld. Prepare to be spellbound.
Ingrams Yard	2026-07-23	21:00	22:00	Jonathan Oldfield: Exquisite Corpse (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=50203		Comedy & Cabaret	true	false	Award-winning character comedian Jonathan Oldfield is making his debut comedy hour. Creator and star of BBC Radio 4’s Time of the Week (winner of Best Sketch Show at British Comedy Guide Awards) and BBC New Comedy Awards Finalist. He’s also directed people like Lorna Rose Treen, Joe Kent-Walters, Alice Cockayne and Lucy Pearman. And you may have seen him in Star Wars: Andor or online in those sketches that someone sent to you. “Brilliant” The Observer “Left me snorting with laughter” BroadwayWorld “Always funny” Chortle
Bosco Theatre	2026-07-23	21:30	22:30	Tom Ward: Post-millennium Tension	https://purchase.vfringe.co.uk/EventAvailability?EventId=41404		Comedy & Cabaret	true	false	Before Tom bails out on the modern world entirely to commit to nostalgia full-time, the burner phone using, Discman carrying, 1988-1995 obsessed freak is giving the present tense one last try. Not for him, but for his 2-year-old son who lives there. But how does 2026 compare to the one he grew up in? Tom explores the head f**k of popular culture in the modern world versus that of his youth in his trademark bittersweet style. As seen on Live at the Apollo, Roast Battle and Qi. “Fine jokes and star Presence” - Time Out “Seinfield-level observational comedy” - Chortle
Ventnor Arts Club	2026-07-23	21:30	23:00	Tom Gamble	https://purchase.vfringe.co.uk/EventAvailability?EventId=43402		Music	true	false	Award-winning English guitarist Tom Gamble returns to the Isle of Wight for two special performances at the Ventnor Fringe Festival. Celebrating the release of his sixth solo album, “Six-String Vagabond”, join Tom at the Ventnor Arts Club for a genre-bending concert featuring original music, songs and virtuosic arrangements for guitar. Tom’s live performances have been praised for their “virtuosity, spontaneity and humour”. His recordings have been featured regularly on national radio, and his live tours have encompassed six continents and stages such as London’s Southbank Centre, Bridgewater
Ingrams Yard	2026-07-23	22:30	23:30	Frankie Monroe's Late Night Pick N Mix	https://purchase.vfringe.co.uk/EventAvailability?EventId=48001		Comedy & Cabaret	true	false	Join Frankie Monro, the nation’s favourite demonic entertainer and Yorkshire's Biggest Bastard, as he presents a very special late night mixed bill featuring a host of some of the best clowns and surreal comedy of the festival. We're not quite sure what will happen, but one thing's for certain, It will be a fever dream you won't forget in a hurry. “Plenty of fun for fans of Johnny Vegas, The Mighty Boosh and Vic and Bob… but Kent-Walters’s mock-old-school-entertainer character has a charisma and a weirdness that is all his own too.” The Times
The Workshop Tent	2026-07-24	09:00	10:15	Scaravelli Yoga Workshop - An Embodied Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=63601		Workshop	true	false	Embark on a transformational journey into the inner landscape of your body and breath with Scaravelli-inspired yoga teacher, aromatherapist, and healer Lew Williams. Through gently tending to and befriending your remarkable body—and following Lew’s uniquely intuitive, story-rich approach to yoga—you can discover a deep sense of strength, grace and freedom, no matter your age, flexibility, or level of experience.
The Workshop Tent	2026-07-24	10:45	11:45	Fringe Frequencies: A Ventnor Sound Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=56401		Workshop	true	false	Step into a curated series of immersive Gong & Bowl Sound Baths inspired by the shifting atmosphere, coastline and natural rhythms of Ventnor. Each session carries its own distinct mood, frequencies and soundscape, connected through the creativity and energy Ventnor Fringe brings to the town each summer. Held beneath canvas in the park, expect resonant Sound, deep rest and the subtle backdrop of nature and festival life outside. Bring mats, pillows and blankets for comfort. Unsuitable for those with seizures, pacemakers or who are pregnant. Full details of contraindications on my website.
	2026-07-24	11:00	12:30	Artist Breakfast hosted by Arts Council England	https://purchase.vfringe.co.uk/EventAvailability?EventId=64401		Workshop	true	false	Join us for an informal, social event with free pastries to meet fellow performers and creatives. Network, meet new people and discover more about development and support opportunities for artists in the region. Hosted by Arts Council England, who will be providing information about the funding and grant schemes they run. Artist Breakfast events are open to creatives, artists and students of any discipline, whether or not you're performing at Ventnor Fringe. Meet at the Fringe Village Box Office.
Pier Street Playhouse	2026-07-24	12:30	13:30	Skysteamer to Athens: Steampunk Storytelling Extravaganza	https://purchase.vfringe.co.uk/EventAvailability?EventId=44202		Performing Arts	true	false	All aboard - the skysteamer is about to depart! Join C.J. Carter-Stephenson as he brings his steampunk novelette SKYSTEAMER TO ATHENS vividly to life. See a model airship soar over your head and meet a talking automaton puppet in this thrilling reader's theatre performance. A lavish sensory experience, which will transport you back to a fictionalised version of the 19th Century, where top hats and corsets are the height of fashion and the wonder of steam is transforming the world. Cast off your mooring ropes and prepare to soar into the clouds.
The Workshop Tent	2026-07-24	13:00	14:30	Drawing Club: Keep Ventnor Weird	https://purchase.vfringe.co.uk/EventAvailability?EventId=63801		Workshop	true	false	Drawing Club is a social gathering bringing together all of those with a love of drawing, spanning all ages and abilities! These bi-weekly evenings at Ventnor Exchange are hosted by guest artist professional illustrator Katy Rose. In this taster session Katy will be on hand to set you some fun challenges and help offer advice and feedback on how to improve your technique. The theme to create a project together and also a take home keepsake is ‘Keep Ventnor Weird’. Children must be accompanied by a paying adult. All Materials provided.
Ingrams Yard	2026-07-24	13:00	14:10	On Holiday With Herzen	https://purchase.vfringe.co.uk/EventAvailability?EventId=55601		Performing Arts	true	false	A dryly humorous new play exploring Ventnor’s unexpected role in Russian history. On Holiday with Herzen revives characters from Turgenev’s Fathers and Sons, tracing a line from the Island to revolution, assassination, and the fate of modern Russia. A witty “postcard from Ventnor” imagining how history might have unfolded differently.
Ventnor Exchange Arena	2026-07-24	13:00	14:00	Norvil & Josephine: Rabbits Out of the Hat	https://purchase.vfringe.co.uk/EventAvailability?EventId=37201		Performing Arts	true	false	After their 5-star studded season at Edinburgh Fringe, vaudevillian duo Norvil & Josephine present a magical extravaganza for all ages! Together they are a magician with a secret and an assistant with a mission in this whimsical comedy musical magic show, the likes of which the world has never seen. It's 1905 and life will never be the same again. It's time for the magician to chase new dreams while the assistant calls the shots. Expect breathtaking magic, sensational circus and showstopper songs as these Magic Circle magicians share a spectacularly silly and spellbinding story about being yourself no matter what. It's a heartwarming story within a whacky feel-good show. RABBITS OUT OF THE HAT appeals to both adult and family audiences in equal measure. The show has appeared in 85 theatre performances around the UK including 4 sold out seasons at The Well Walk Theatre in Hampstead and a run at The Pleasance King Dome at Edinburgh Festival Fringe.
The Fringe Village Box Office	2026-07-24	13:00	14:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ventnor Exchange	2026-07-24	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
